order_id,item_id,product_id,quantity,list_price,discount,total price
1,1,20,1,599.99,0.2,479.99
1,2,8,2,1799.99,0.07,3347.98
1,3,10,2,1549,0.05,2943.1
1,4,16,2,599.99,0.05,1139.98
1,5,4,1,2899.99,0.2,2319.99
2,1,20,1,599.99,0.07,557.99
2,2,16,2,599.99,0.05,1139.98
3,1,3,1,999.99,0.05,949.99
3,2,20,1,599.99,0.05,569.99
4,1,2,2,749.99,0.1,1349.98
5,1,10,2,1549,0.05,2943.1
5,2,17,1,429,0.07,398.97
5,3,26,1,599.99,0.07,557.99
6,1,18,1,449,0.07,417.57
6,2,12,2,549.99,0.05,1044.98
6,3,20,1,599.99,0.1,539.99
6,4,3,2,999.99,0.07,1859.98
6,5,9,2,2999.99,0.07,5579.98
7,1,15,1,529.99,0.07,492.89
7,2,3,1,999.99,0.1,899.99
7,3,17,2,429,0.1,772.2
8,1,22,1,269.99,0.05,256.49
8,2,20,2,599.99,0.07,1115.98
9,1,7,2,3999.99,0.1,7199.98
10,1,14,1,269.99,0.1,242.99
11,1,8,1,1799.99,0.05,1709.99
11,2,22,2,269.99,0.1,485.98
11,3,16,2,599.99,0.2,959.98
12,1,4,2,2899.99,0.1,5219.98
12,2,11,1,1680.99,0.05,1596.94
13,1,13,1,269.99,0.1,242.99
13,2,17,2,429,0.05,815.1
13,3,20,2,599.99,0.1,1079.98
13,4,16,2,599.99,0.05,1139.98
14,1,6,1,469.99,0.07,437.09
15,1,12,2,549.99,0.07,1022.98
15,2,8,1,1799.99,0.07,1673.99
15,3,18,2,449,0.05,853.1
15,4,23,2,299.99,0.2,479.98
16,1,8,1,1799.99,0.2,1439.99
16,2,21,1,269.99,0.05,256.49
16,3,13,2,269.99,0.07,502.18
16,4,14,1,269.99,0.07,251.09
17,1,8,1,1799.99,0.07,1673.99
17,2,23,1,299.99,0.1,269.99
17,3,5,1,1320.99,0.1,1188.89
17,4,20,2,599.99,0.2,959.98
18,1,2,2,749.99,0.2,1199.98
18,2,22,1,269.99,0.05,256.49
18,3,7,1,3999.99,0.1,3599.99
18,4,25,2,499.99,0.05,949.98
18,5,9,2,2999.99,0.1,5399.98
19,1,10,1,1549,0.07,1440.57
19,2,9,2,2999.99,0.2,4799.98
20,1,9,1,2999.99,0.07,2789.99
20,2,10,2,1549,0.07,2881.14
21,1,14,1,269.99,0.05,256.49
21,2,17,1,429,0.1,386.1
21,3,10,1,1549,0.07,1440.57
22,1,15,2,529.99,0.2,847.98
22,2,22,1,269.99,0.05,256.49
23,1,4,2,2899.99,0.05,5509.98
23,2,23,2,299.99,0.1,539.98
23,3,13,1,269.99,0.2,215.99
24,1,3,2,999.99,0.1,1799.98
24,2,18,2,449,0.07,835.14
25,1,23,2,299.99,0.2,479.98
25,2,10,2,1549,0.2,2478.4
25,3,22,1,269.99,0.2,215.99
25,4,14,1,269.99,0.2,215.99
25,5,21,1,269.99,0.1,242.99
26,1,7,1,3999.99,0.05,3799.99
26,2,2,1,749.99,0.2,599.99
26,3,12,1,549.99,0.2,439.99
26,4,21,2,269.99,0.07,502.18
27,1,5,1,1320.99,0.2,1056.79
27,2,19,1,449,0.2,359.2
